Monitoring point coding,Monitoring point name,city,longitude,latitude,region,GADM
1001A,Wanshou West Palace,Beijing,116.3621,39.8784,Beijing,CN.BJ
1002A,Dingling (control point),Beijing,116.2202,40.2915,Beijing,CN.BJ
1003A,Tosi,Beijing,116.4174,39.9289,Beijing,CN.BJ
1004A,Temple of Heaven,Beijing,116.4072,39.8863,Beijing,CN.BJ
1005A,Agricultural Exhibition Hall,Beijing,116.462,39.9365,Beijing,CN.BJ
1006A,Official garden,Beijing,116.3392,39.9295,Beijing,CN.BJ
1007A,Haidian Wanliu,Beijing,116.2878,39.9611,Beijing,CN.BJ
1008A,Shunyi New City,Beijing,116.6636,40.135,Beijing,CN.BJ
1009A,Huairou Town,Beijing,116.6275,40.3275,Beijing,CN.BJ
1010A,Changping Town,Beijing,116.2296,40.217,Beijing,CN.BJ
1011A,Olympic Sports Center,Beijing,116.3966,39.9821,Beijing,CN.BJ
1012A,Ancient city,Beijing,116.184,39.9136,Beijing,CN.BJ
1013A,Municipal Monitoring Center (out of service 150702),Tianjin,117.151,39.097,Tianjin,CN.TJ
1014A,Nankou Road (stopped 161122),Tianjin,117.193,39.173,Tianjin,CN.TJ
1015A,Hardworking,Tianjin,117.1444,39.1661,Tianjin,CN.TJ
1016A,Nanjing Road (out of service 160601),Tianjin,117.184,39.1205,Tianjin,CN.TJ
1017A,Dazhigu No. 8 Road,Tianjin,117.237,39.1082,Tianjin,CN.TJ
1018A,Way forward,Tianjin,117.202,39.0927,Tianjin,CN.TJ
1019A,Huaihe Road,Tianjin,117.1837,39.2133,Tianjin,CN.TJ
1020A,Tianshan Road (stopped 150702),Tianjin,117.269,39.1337,Tianjin,CN.TJ
1021A,Yuejin Road,Tianjin,117.307,39.0877,Tianjin,CN.TJ
1022A,Meijiang District (out of service 150702),Tianjin,117.221,39.06,Tianjin,CN.TJ
1023A,Fourth Avenue,Tianjin,117.707,39.0343,Tianjin,CN.TJ
1024A,Yongming Road,Tianjin,117.457,38.8394,Tianjin,CN.TJ
1025A,Hangtian Road (out of service 170426),Tianjin,117.401,39.124,Tianjin,CN.TJ
1026A,Hanbei Road,Tianjin,117.764,39.1587,Tianjin,CN.TJ
1027A,Tuanbowa (control point),Tianjin,117.157,38.9194,Tianjin,CN.TJ
1028A,Chemical School (stopped 150703),Shijiazhuang,114.5637,38.0549,Hebei,CN.HB
1029A,Staff hospital,Shijiazhuang,114.4422,38.0444,Hebei,CN.HB
1030A,High-tech Zone,Shijiazhuang,114.6063,38.0266,Hebei,CN.HB
1031A,Northwest Water,Shijiazhuang,114.4898,38.1328,Hebei,CN.HB
1032A,Southwest Higher Education,Shijiazhuang,114.4586,38.0058,Hebei,CN.HB
1033A,century Park,Shijiazhuang,114.5331,38.0178,Hebei,CN.HB
1034A,People's Hall,Shijiazhuang,114.509,38.0457,Hebei,CN.HB
1035A,Fenglong Mountain (reference point),Shijiazhuang,114.3524,37.8911,Hebei,CN.HB
1036A,Supply and Marketing Cooperative (stopped operation 200110),Tangshan,118.1662,39.6308,Hebei,CN.HB
1037A,Radar station,Tangshan,118.131,39.6363,Hebei,CN.HB
