code,Sigungu,address,lon,lat
111121,吝备,吝备 傣荐泵辨 15 (矫没辑家巩喊包 3悼),126.9747,37.5643
111123,辆肺备,辆肺备 辆肺35啊辨 19 (辆肺5.6啊悼 林刮季磐),127.0050,37.5720
111131,侩魂备,侩魂备 茄巢措肺 136 (辑匡漂喊矫 吝何扁贱背腊盔),127.0048,37.5400
111141,堡柳备,堡柳备 堡唱风肺 571 (备狼酒府荐沥荐季磐 郴),127.0925,37.5472
111142,己悼备,己悼备 兑级肺3辨 18 (己荐1啊 1悼 林刮季磐),127.0494,37.5419
111151,吝尔备,吝尔备 侩付魂肺 369 (扒碍啊沥瘤盔季磐),127.0940,37.5849
111152,悼措巩备,悼措巩备 玫龋措肺 13辨 43 (辑匡侩滴檬殿切背),127.0289,37.5758
111161,己合备,己合备 伙剧肺 2辨 70 (辨澜2悼 林刮季磐),127.0273,37.6067
111171,档豪备,档豪备 矫风豪肺 2辨 34 (街巩悼没家斥巩拳狼笼),127.0290,37.6542
111181,篮乞备,篮乞备 柳蕊肺 215 (茄惫券版魂诀扁贱盔),126.9348,37.6098
111191,辑措巩备,辑措巩备 技八沥肺4辨 32 全力3悼 林刮季磐,126.9497,37.5938
111201,付器备,付器备 器篮肺6辨 10(父盔1悼 林刮季磐),126.9056,37.5556
111212,碍辑备,碍辑备 碍辑肺 45促辨 71 (拳邦3悼 仟弗甸没家斥档辑包),126.8351,37.5447
111221,备肺备,备肺备 啊付魂肺 27辨 45 (备肺绊殿切背),126.8897,37.4985
111231,康殿器备,康殿器备 剧魂肺 23辨 11 (寸魂1悼 林刮季磐),126.8974,37.5250
111241,悼累备,悼累备 荤寸肺 16酒辨 6 (荤寸4悼 林刮季磐),126.9715,37.4809
111251,包厩备,包厩备 脚覆悼辨 14 (脚覆悼 林刮季磐),126.9271,37.4874
111261,碍巢备,碍巢备 切悼肺 426 (碍巢备没 喊包1悼),127.0481,37.5176
111262,辑檬备,辑檬备 脚馆器肺 15辨 16 (馆器2悼 林刮季磐),126.9945,37.5046
111273,价颇备,价颇备 归力绊盒肺 236(伙傈悼 林刮季磐),127.0925,37.5027
111274,碍悼备,碍悼备 备玫搁肺 42辨 59 (玫龋1悼 林刮季磐),127.1368,37.5450
111281,陛玫备,陛玫备 陛窍肺 21辨 20 (矫蕊5悼 林刮季磐),126.9083,37.4524
111291,碍合备,碍合备 伙剧肺139辨 49 (快捞悼 林刮季磐),127.0119,37.6479
111301,剧玫备,剧玫备 吝居肺 52辨 56(脚沥4悼 巩拳季磐),126.8566,37.5260
111311,畴盔备,畴盔备 惑拌肺 23辨 17 盔磐青汗惯傈家,127.0679,37.6574
221112,堡汗悼,吝备 堡汗肺 55锅辨 10 堡汗悼 林刮季磐 苛惑,129.0305,35.0999
221172,措楷悼,巢备 荐康肺 196锅辨 80 何魂傍诀绊殿切背 傍傍角嚼厘 苛惑,129.0877,35.1303
221181,切厘悼,荤惑备 措悼肺 205 切厘檬殿切背 苛惑,128.9842,35.1462
221182,傣玫悼,合备 傣玫2辨 10 傣玫檬殿切背 款悼厘 巢率 拳窜,129.0062,35.2078
221202,厘覆悼,荤窍备 厘覆肺 161锅辨 2 厘覆1悼林刮季磐 苛惑,128.9669,35.0830
221152,傈器悼,何魂柳备 傈器措肺 209锅辨 26 愁捞付风 郴,129.0638,35.1560
221221,楷魂悼,楷力备 吝居措肺 1065锅辨 1001 踌澜堡厘 芒绊 苛惑,129.0746,35.1811
221141,怕辆措,康档备 傈噶肺 24 怕辆措蜡盔瘤包府家 ,129.0799,35.0598
221191,没锋悼,陛沥备 没锋肺 25 没锋畴器悼 林刮季磐 苛惑,129.0895,35.2755
221192,谅悼,秦款措备 剧款肺 91 谅1悼 林刮季磐 苛惑,129.1742,35.1706
221211,措历悼,碍辑备 眉腊傍盔肺 43 碍辑眉腊傍盔 郴,128.9731,35.2087
221212,踌魂悼,碍辑备 踌魂魂窜 382肺 49锅辨 39 何魂券版傍窜踌魂荤诀家,128.8631,35.0864
221231,扁厘谰,扁厘焙 扁厘谰 谰郴肺 69 扁厘檬殿切背 苛惑,129.2158,35.2387
221251,何邦悼,陛沥备 何邦肺 156锅辨 7 何邦2悼 林刮季磐 苛惑,129.0927,35.2298
221271,堡救悼,荐康备 堡救肺21锅啊辨 57 茄官促吝切背 苛惑,129.1181,35.1575
221163,疙厘悼,悼贰备 疙厘肺 32 疙厘1悼 林刮季磐 苛惑,129.1043,35.2049
221233,侩荐府,扁厘焙 沥包搁 侩荐肺4 沥包谰林刮季磐 苛惑,129.1802,35.3256
221241,荐沥悼,悼备 备没肺 1 悼备没 瘤惑,129.0454,35.1294
221281,措脚悼,辑备 措脚肺 150 何魂惫刮眉腊季磐 3摸苛惑,129.0157,35.1174
221282,傣器悼,荤惑备 伙傣肺 83(傣器檬殿切背 款悼厘 合辑率 拳窜),128.9851,35.1744
221283,俺陛悼,何魂柳备 俺陛悼 208-48 俺陛3悼 绢赴捞愁捞磐 瘤惑,129.0230,35.1552
221284,寸府悼,荤窍备 力籍肺 41 倡悼檬殿切背 款悼厘 悼祈 拳窜,128.9737,35.1052
221193,犁价悼,秦款措备 季乓悼肺 191 悼何窍荐贸府厘 糠 傍盔,129.1210,35.1832
221142,没切悼,康档备 没切巢肺 13锅辨 18 没切悼绢匡覆付寸,129.0596,35.0908
221183,拳疙悼,合备 拳疙悼 2280 厘固盔 ,129.0102,35.2334
221213,疙瘤悼,碍辑备 疙瘤悼 3513-3  航躲傍盔 ,128.9265,35.1066
221253,雀悼悼,陛沥备 陛荤肺 217 雀悼付风,129.1208,35.2295
422114,荐芒悼,吝备 崔己肺 22辨 30 荐芒檬殿切背 苛惑,128.5841,35.8743
422115,瘤魂悼,荐己备 公切肺 209 (茄惫券版傍窜 措备版合瘤开夯何),128.6316,35.8305
