년,월,일,시,분,항목,종로구,중구,용산구,은평구,서대문구,마포구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,최대,최소,평균
2001,1,1,,,PM2.5,*0,*0,*0,*0,*0,*0,56,69,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,69,56,62
2001,1,2,,,PM2.5,*0,*0,*0,*0,*0,*0,161,110,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,161,110,136
2001,1,3,,,PM2.5,*0,*0,*0,*0,*0,*0,44,39,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,44,39,42
2001,1,4,,,PM2.5,*0,*0,*0,*0,*0,*0,42,30,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,42,30,36
2001,1,5,,,PM2.5,*0,*0,*0,*0,*0,*0,70,58,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,70,58,63
2001,1,6,,,PM2.5,*0,*0,*0,*0,*0,*0,58,62,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,62,58,60
2001,1,7,,,PM2.5,*0,*0,*0,*0,*0,*0,*26,14,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,14,14,18
2001,1,8,,,PM2.5,*0,*0,*0,*0,*0,*0,*0,9,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,9,9,9
2001,1,9,,,PM2.5,*0,*0,*0,*0,*0,*0,*44,27,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,27,27,29
2001,1,10,,,PM2.5,*0,*0,*0,*0,*0,*0,47,*57,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,47,47,51
2001,1,11,,,PM2.5,*0,*0,*0,*0,*0,*0,32,25,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,32,25,28
