"STNID","TYPE","longitude","latitude","avg_PM2.5"
"1001A","PM2.5",116.3621,39.8784,36.5353719208834
"1002A","PM2.5",116.2202,40.2915,31.3274077681724
"1003A","PM2.5",116.4174,39.9289,37.1764990914597
"1004A","PM2.5",116.4072,39.8863,35.4210462287105
"1005A","PM2.5",116.462,39.9365,36.6274966303149
"1006A","PM2.5",116.3392,39.9295,36.8632760092694
"1007A","PM2.5",116.2878,39.9611,35.5339817629179
"1008A","PM2.5",116.6636,40.135,35.8115942028985
"1009A","PM2.5",116.6275,40.3275,33.0099732425201
"1010A","PM2.5",116.2296,40.217,33.7016945020115
"1011A","PM2.5",116.3966,39.9821,36.7946851110302
"1012A","PM2.5",116.184,39.9136,37.3734691402934
"1013A","PM2.5",117.151,39.097,NA
"1014A","PM2.5",117.193,39.173,NA
"1015A","PM2.5",117.1444,39.1661,42.2692448456752
"1016A","PM2.5",117.184,39.1205,NA
"1017A","PM2.5",117.237,39.1082,40.6763909404234
"1018A","PM2.5",117.202,39.0927,39.190036900369
"1019A","PM2.5",117.1837,39.2133,43.4868002933268
"1020A","PM2.5",117.269,39.1337,NA
"1021A","PM2.5",117.307,39.0877,41.3057309072905
"1022A","PM2.5",117.221,39.06,NA
"1023A","PM2.5",117.707,39.0343,40.0835780714635
"1024A","PM2.5",117.457,38.8394,40.5930076745036
"1025A","PM2.5",117.401,39.124,NA
"1026A","PM2.5",117.764,39.1587,37.9382579933848
"1027A","PM2.5",117.157,38.9194,38.990539378302
"1028A","PM2.5",114.5637,38.0549,NA
"1029A","PM2.5",114.4422,38.0444,49.9561589239009
"1030A","PM2.5",114.6063,38.0266,47.4167082294264
"1031A","PM2.5",114.4898,38.1328,47.8145638245441
"1032A","PM2.5",114.4586,38.0058,49.05712890625
"1033A","PM2.5",114.5331,38.0178,47.4450987608882
"1034A","PM2.5",114.509,38.0457,50.6024375380865
"1035A","PM2.5",114.3524,37.8911,39.8620816027364
"1036A","PM2.5",118.1662,39.6308,NA
"1037A","PM2.5",118.131,39.6363,43.3186232329441
"1038A","PM2.5",118.1725,39.6334,43.3511356660528
"1039A","PM2.5",118.2185,39.6679,NA
"1040A","PM2.5",118.1705,39.6506,50.0125950866692
"1041A","PM2.5",118.1869,39.622,41.7127281636653
"1042A","PM2.5",119.5134,39.8207,33.7057954964932
"1043A","PM2.5",119.7493,40.0116,38.707676664972
"1044A","PM2.5",119.5897,39.9499,37.3982655966865
"1045A","PM2.5",NA,NA,NA
"1046A","PM2.5",119.5251,39.9041,35.2809927509522
"1047A","PM2.5",114.5129,36.61763,25
"1048A","PM2.5",114.5302,36.6116,48.0878765247697
"1049A","PM2.5",114.4918,36.5713,48.6767990074442
"1050A","PM2.5",114.484,36.6133,45.9273111332008
"1051A","PM2.5",115.493,38.8632,45.3695093600881
"1052A","PM2.5",115.5213,38.8959,44.3377008652658
"1053A","PM2.5",115.4713,38.9108,42.6687252964427
"1054A","PM2.5",115.4612,38.8416,44.7555922724962
"1055A","PM2.5",115.4323,38.8697,42.1222826086956
"1056A","PM2.5",115.5086,38.8639,40.9234631398482
"1057A","PM2.5",114.8883,40.8336,26.3015187060131
"1058A","PM2.5",114.892,40.79481,NA
"1059A","PM2.5",114.8687,40.8042,28.1213670949233
"1060A","PM2.5",114.8902,40.762,32.6556790596653
"1061A","PM2.5",114.8916,40.8661,29.0793967343886
"1062A","PM2.5",117.9531,40.9081,31.9114754098361
"1063A","PM2.5",117.9392,40.9763,30.7374404107077
"1064A","PM2.5",117.9503,40.928,30.2046091940007
"1065A","PM2.5",117.8051,40.9655,31.1930235585058
"1066A","PM2.5",117.9268,41.0026,33.1107985813868
"1067A","PM2.5",116.6708,39.5111,40.7906066536204
"1068A","PM2.5",116.7214,39.5589,37.6822510822511
"1069A","PM2.5",116.715,39.5571,NA
"1070A","PM2.5",116.7244,39.5269,39.1138403990025
"1071A","PM2.5",116.8842,38.2991,42.2164105106594
"1072A","PM2.5",116.8584,38.3254,39.6945124938755
"1073A","PM2.5",116.8709,38.3228,41.4238159344022
"1074A","PM2.5",115.6838,37.7541,40.814479638009
"1075A","PM2.5",115.6303,37.7316,45.1376785060417
"1076A","PM2.5",115.6906,37.739,NA
"1077A","PM2.5",114.4704,37.0886,42.8090389868388
"1078A","PM2.5",114.5062,37.0349,44.1804142664542
"1079A","PM2.5",114.5237,37.0851,48.387027437097
"1080A","PM2.5",114.4725,37.0719,46.1485475072942
"1081A","PM2.5",112.5139,37.8873,46.558862998658
"1082A","PM2.5",112.573,37.9103,NA
"1083A","PM2.5",112.434,38.0108,37.5169314123876
"1084A","PM2.5",112.469,37.7124,51.5391581008321
"1085A","PM2.5",112.5583,37.7394,51.9546686375955
"1086A","PM2.5",112.5369,37.8692,46.9899963401244
"1087A","PM2.5",112.57,37.8195,49.1268674993877
"1088A","PM2.5",112.549,37.9854,43.0201440605543
"1089A","PM2.5",112.4701,37.782,NA
"1090A","PM2.5",111.6507,40.7517,37.5612333706328
"1091A","PM2.5",111.6572,40.8033,34.173174662204
"1092A","PM2.5",111.659,40.8452,NA
"1093A","PM2.5",111.608,40.8144,NA
"1094A","PM2.5",111.7516,40.8369,33.103683148335
"1095A","PM2.5",111.7276,40.8062,29.189357560026
"1096A","PM2.5",111.5512,40.7866,34.8331888544892
"1097A","PM2.5",111.717,40.7612,36.8855474089723
"1098A","PM2.5",123.6836,41.9339,34.472049689441
"1099A","PM2.5",123.505,41.7406,41.1274234849409
"1100A","PM2.5",123.4231,41.6989,36.958521410272
"1101A","PM2.5",123.284,41.7694,NA
"1102A","PM2.5",123.5903,41.8411,35.7147952281392
"1103A","PM2.5",123.4264,41.8467,35.344089964552
"1104A","PM2.5",123.4114,41.7653,40.4357038480273
"1105A","PM2.5",123.4678,41.7867,35.6615776081425
"1106A","PM2.5",123.4017,41.7972,39.9969564158753
"1107A","PM2.5",123.3606,41.7806,NA
"1108A","PM2.5",123.3783,41.9228,38.4581668482867
"1109A","PM2.5",121.612,38.9741,29.8577324593348
"1110A","PM2.5",121.565,38.9511,30.2029091798069
"1111A","PM2.5",121.5637,38.8845,29.1019069597959
"1112A","PM2.5",121.6302,38.9117,29.7006802721088
"1113A","PM2.5",121.6251,38.8638,25.7609301198983
"1114A","PM2.5",121.5213,38.8661,26.8302093476144
"1115A","PM2.5",121.2529,38.8061,25.791686922703
"1116A","PM2.5",121.7485,39.1311,31.6307748272099
"1117A","PM2.5",121.7811,39.0496,30.9776851397744
"1118A","PM2.5",121.9762,39.0631,25.0267008046818
"1119A","PM2.5",125.3325,43.9166,36.5663069098127
"1120A","PM2.5",125.2863,43.9027,31.3300528970353
"1121A","PM2.5",125.2841,43.8463,36.1187616099071
"1122A","PM2.5",125.3716,43.8772,30.8563589806121
"1123A","PM2.5",125.3297,43.8805,27.3761479123301
"1124A","PM2.5",125.4605,43.79,23.8637481554353
"1125A","PM2.5",125.7194,43.515,30.0753233578494
"1126A","PM2.5",125.3863,43.8447,30.558335367342
"1127A","PM2.5",125.245,43.7783,34.2891173520562
"1128A","PM2.5",125.1761,43.8325,32.9905125677674
"1129A","PM2.5",126.5422,45.755,31.5995052566481
"1130A","PM2.5",126.561,45.8167,31.5669252555104
"1131A","PM2.5",126.979,45.5419,35.5338867550489
"1132A","PM2.5",126.599,45.7222,NA
"1133A","PM2.5",126.689,45.7733,34.9087745463584
"1134A","PM2.5",126.635,45.7667,32.8892857142857
"1135A","PM2.5",126.685,45.7319,38.9600298841987
"1136A","PM2.5",126.6411,45.7258,36.8335280373832
"1137A","PM2.5",126.593,45.7478,38.378530334728
"1138A","PM2.5",126.615,45.61,36.2095713589868
"1139A","PM2.5",126.595,45.9855,34.9277278562259
"1140A","PM2.5",126.6206,45.6842,39.3178883402962
"1141A","PM2.5",121.4,31.238,27.5793980280228
"1142A","PM2.5",121.478,31.2036,28.5673617180672
"1143A","PM2.5",121.467,31.3008,27.0115720792811
"1144A","PM2.5",121.412,31.1654,28.2610235739587
"1145A","PM2.5",121.536,31.2659,26.9618094178717
"1146A","PM2.5",120.978,31.0935,28
"1147A","PM2.5",121.425,31.2261,28.0266455773208
"1148A","PM2.5",121.703,31.1907,25.684984423676
"1149A","PM2.5",121.533,31.2284,27.091887923651
"1150A","PM2.5",121.577,31.2071,28.4263480392157
"1151A","PM2.5",118.8086,32.1065,29.2343074968234
"1152A","PM2.5",118.7538,32.0551,26.63058203713
"1153A","PM2.5",118.7794,32.0745,32.0462456489309
"1154A","PM2.5",118.7752,32.0023,27.2905584268247
"1155A","PM2.5",118.8109,32.0309,31.5558566325902
"1156A","PM2.5",118.7997,32.0754,30.0961799975275
"1157A","PM2.5",118.6414,32.0931,24.9472411831627
"1158A","PM2.5",118.7356,31.9996,32.8715221961172
"1159A","PM2.5",118.9125,32.1028,27.521246105919
"1160A","PM2.5",120.561,31.2472,29.9097437167265
"1161A","PM2.5",120.628,31.2864,31
"1162A","PM2.5",120.591,31.3019,28.2187806072478
"1163A","PM2.5",120.596,31.3264,27.0056832221399
"1164A","PM2.5",120.613,31.2703,29.8437033349925
"1165A","PM2.5",120.543,31.2994,30.2830514751265
"1166A","PM2.5",120.669,31.3097,25.8653235653236
"1167A","PM2.5",120.641,31.3708,29.6789013425299
"1168A","PM2.5",120.9098,31.9663,32.2896560413254
"1169A","PM2.5",120.86,32.0005,31.3244102187997
"1170A","PM2.5",120.87,32.02,28.8570904645477
"1171A","PM2.5",120.94,31.93,30.7796401281735
"1172A","PM2.5",120.81,32.0417,30.5244267198405
"1173A","PM2.5",119.176,34.5885,36.9171153123826
"1174A","PM2.5",119.141,34.5896,NA
"1175A","PM2.5",119.368,34.7507,NA
"1176A","PM2.5",119.348,34.6984,NA
"1177A","PM2.5",117.179,34.2761,45.0049401012721
"1178A","PM2.5",117.1918,34.2384,41.9370283310652
"1179A","PM2.5",117.192,34.3083,NA
"1180A","PM2.5",117.256,34.2153,42.9402307314678
"1181A","PM2.5",117.244,34.2911,42.7369251304453
"1182A","PM2.5",117.2933,34.2778,43.1617121006538
"1183A","PM2.5",117.166,34.1806,NA
"1184A","PM2.5",119.46,32.3878,NA
"1185A","PM2.5",119.404,32.41,NA
"1186A","PM2.5",119.389,32.3761,34.2653780695356
"1187A","PM2.5",119.439,32.4033,NA
"1188A","PM2.5",120.269,31.4867,25.3342065868263
"1189A","PM2.5",120.275,31.6219,30.5200348432056
"1190A","PM2.5",120.294,31.56,28.5467059980334
"1191A","PM2.5",120.242,31.5031,25.3835854202827
"1192A","PM2.5",120.3489,31.5863,29.6632446134347
"1193A","PM2.5",120.354,31.5475,30.37099430019
"1194A","PM2.5",120.245,31.5631,30.5391188251001
"1195A","PM2.5",120.299,31.6817,30.898527607362
"1196A","PM2.5",119.9633,31.762,33.5135735439289
"1197A","PM2.5",119.933,31.7786,NA
"1198A","PM2.5",119.962,31.8089,NA
"1199A","PM2.5",120.0393,31.7638,NA
"1200A","PM2.5",119.9468,31.7069,37.250213596973
"1201A","PM2.5",119.9255,31.9087,38.6800785083415
"1202A","PM2.5",NA,NA,NA
"1203A","PM2.5",119.6707,32.1875,34.6496116385156
"1204A","PM2.5",119.4974,32.1968,36.4214046822743
"1205A","PM2.5",119.4303,32.1328,39.9232856438086
"1206A","PM2.5",119.905,32.4878,34.3701451793026
"1207A","PM2.5",119.9189,32.4625,34.6696517412935
"1208A","PM2.5",119.882,32.303,NA
"1209A","PM2.5",119.888,32.4639,32.682364483689
"1210A","PM2.5",119.036,33.5981,38.6239731142644
"1211A","PM2.5",119.007,33.575,36.4522316488381
"1212A","PM2.5",118.989,33.6067,35.6958598726115
"1213A","PM2.5",119.135,33.5039,37.744944795931
"1214A","PM2.5",119.0186,33.6297,37.8532435740514
"1215A","PM2.5",120.118,33.4022,31.3819990176817
"1216A","PM2.5",120.156,33.3942,28.7267671774592
"1217A","PM2.5",120.129,33.3719,NA
"1218A","PM2.5",120.2144,33.38,27.8387177560731
"1219A","PM2.5",118.2658,33.96,NA
"1220A","PM2.5",118.293,33.9528,37.3231187445941
"1221A","PM2.5",118.2442,33.9592,36.8187243565834
"1222A","PM2.5",118.3214,33.9506,NA
"1223A","PM2.5",120.2072,30.2111,27.602858538969
"1224A","PM2.5",120.0633,30.2747,26.2742898939412
"1225A","PM2.5",119.026,29.635,13
"1226A","PM2.5",120.3461,30.3153,27.790303030303
"1227A","PM2.5",120.1269,30.2456,27.3274669255978
"1228A","PM2.5",120.1903,30.2692,25.0570137956293
"1229A","PM2.5",120.157,30.2897,36
"1230A","PM2.5",120.1197,30.3119,29.2205003050641
"1231A","PM2.5",120.3019,30.4183,26.5499147796445
"1232A","PM2.5",120.2697,30.1819,30.7284946236559
"1233A","PM2.5",120.0883,30.1808,21.5364691508858
"1234A","PM2.5",121.8358,29.911,18.9914644555542
"1235A","PM2.5",121.56,29.82,22.6862244897959
"1236A","PM2.5",121.713,29.9572,18.8564319482458
"1237A","PM2.5",121.554,29.8906,NA
"1238A","PM2.5",121.615,29.9017,NA
"1239A","PM2.5",121.633,29.7733,20.8015931372549
"1240A","PM2.5",121.5856,29.8635,22.6073349633252
"1241A","PM2.5",121.524,29.8674,19.7052334844957
"1242A","PM2.5",120.634,28.0089,26.6533526991043
"1243A","PM2.5",120.6748,27.9939,26.3019603068306
"1244A","PM2.5",120.76,27.9747,23.2306107610276
"1245A","PM2.5",120.6709,28.0167,23.3748619123604
"1246A","PM2.5",120.598,30.0911,60
"1247A","PM2.5",120.6053,29.9928,27.3292016040831
"1248A","PM2.5",120.576,30.007,NA
"1249A","PM2.5",120.1,30.8867,NA
"1250A","PM2.5",120.0751,30.8669,24.0884461183331
